Museum,URL,Latitude,Longitude
Regional History Museum - Sofia,https://www.sofiahistorymuseum.bg/bg/home,42.6995101287413,23.3236225809469
National History Museum,https://historymuseum.org/,42.6552243759634,23.2708604386161
National Military Museum,https://militarymuseum.bg/,42.6878851020755,23.3501667367669
Earth and Man National Museum,https://www.earthandman.org/language/en/front/,42.6802331015023,23.3207516693042
National Museum of Natural History,https://www.nmnhs.com/index_bg.php,42.6958140895571,23.3285409981408
National Archaeological Institute with Museum,http://naim.bg/en/home/,42.6965798017912,23.3245368521108
Institute of Ethnology and Folklore Studies and Ethnographic Museum,https://iefem.bas.bg/,42.6964174875649,23.3271125521108
National History Museum Boyana Church,https://boyanachurch.org/,42.6447586399314,23.2660988944365
National Polytechnic Museum,https://polytechnic-museum.com/,42.704385977008,23.3114476539621
Museum of Sport,https://www.nsb.bg/bg/mesmerize/%d0%bf%d1%80%d0%b8%d0%bc%d0%b5%d1%80%d0%bd%d0%b0-%d1%81%d1%82%d1%80%d0%b0%d0%bd%d0%b8%d1%86%d0%b0-2/,42.6881940928566,23.3346709962896
Museum of the Ministry of Interior,https://www.mvr.bg/%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D0%B5%D1%80%D1%81%D1%82%D0%B2%D0%BE%D1%82%D0%BE/%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%BD%D0%B8-%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D1%83%D1%80%D0%B8-%D0%BD%D0%B0-%D0%BC%D0%B2%D1%80/%D0%BC%D1%83%D0%B7%D0%B5%D0%B9-%D0%BD%D0%B0-%D0%BC%D0%B2%D1%80,42.6955324319807,23.3189283674542
Sofia Arsenal - Museum of Contemporary Art,https://sofiaarsenal-mca.org/bg,42.6805119564821,23.3201705116325
History of Physics Museum,http://museum.issp.bas.bg/m11-page1.html,42.6536729080626,23.3851208071411
"Museum of Mineralogy, Petrology and Economic Geology",https://mpeg.gea.uni-sofia.bg/en/museum-of-mineralogy-petrology-and-economic-geology/,42.693223341121,23.3354190981406
Museum of Paleontology and Historical Geology,https://gpff.gea.uni-sofia.bg/facilities/museum,42.694335137874,23.3349542521107
Museum of Art from the socialist period,https://nationalgallery.bg/visiting/museum-of-socialist-period/,42.6661908546235,23.3578831367659
National Agricultural Museum,https://nzmsofia.com/,42.697605136949,23.2639376962901
National Anthropological Museum,https://www.nambg.com/,42.6795348567135,23.3543730656024
National Church History and Archeology Museum,https://bg-patriarshia.bg/church-arch-instit,42.6960059917692,23.32142549629
Archaeological level of the basilica St. Sofia,https://sofiahistorymuseum.bg/bg/obekti/bazilika-sveta-so,42.6966879049068,23.3311863521109
"House Museum ""Pancho Vladigerov""",https://vladigerov.org/kushta-muzej-pancho-vladigerov-sofiya/,42.6723509722155,23.3286288269754
"House Museum ""Dimitar Dymov""",https://nlmuseum.bg/kashta-muzey-dimitar-dimov/,42.6791480198804,23.3290448097815
"House Museum ""Hristo Smirnenski""",https://nlmuseum.bg/kashta-muzey-hristo-smirnenski/,42.7026486669912,23.3060375809469
"House Museum ""Ivan Vazov""",https://nlmuseum.bg/kashta-muzey-ivan-vazov/,42.6932024125126,23.3275630962898
"House Musem ""Nikola Vaptsarov""",https://nlmuseum.bg/kashta-muzey-nikola-y-vaptsarov/,42.6895489241096,23.3218938962897
"House Musem ""Petko and Pencho Slaveykovi""",https://nlmuseum.bg/kashta-muzey-petko-i-pencho-slaveykovi/,42.6896212794043,23.3231473116329
