Theatre,URL,Address,Latitude,Longitude
Atelie Plastelin,https://www.atelie-plastelin.com/p/blog-page_9846.html, ул. цар Симеон 48,42.701379824333,23.327916330905
I AM Studio,https://iamstudio.bg/, ул. Георги С. Раковски 149,42.6922709356436,23.3254146386266
The Comedy Club Sofia,https://comedyclub.bg/,ул. Малко Търново 2,42.6977385726737,23.3264061521109
Theatro,https://www.theatro.bg/, ул. Върбица 12,42.6955399650208,23.3459419080605
YALTA ART ROOM,https://www.facebook.com/yaltaartrooom,Бул. Цар Освободител 20,42.6956247633963,23.3459536404691
Ballet Arabesque,http://www.arabesque.bg, ул. Панайот Волов 3,42.6972666958475,23.3361089360328
Music and Ballet Center - Sofia,http://www.musictheatre.bg, бул. В. Левски 100,42.6972541095177,23.3354369672683
"Little City Theater ""Zad Kanala""",http://www.zadkanala.bg, бул. Мадрид 1,42.6964640939659,23.3473855539618
Youth Theater Nikolay Binev,http://www.mlt.bg, бул. Дондуков 8,42.6979316435448,23.3268657288358
National Theatre Ivan Vazov,http://www.nationaltheatre.bg, ул. Дякон Игнатий,42.6945253824059,23.3260411521107
"Open Scene ""Salza I Smyah""",https://www.salzaismyah.bg/, ул. Раковски 127,42.6940013388489,23.328457840469
"Regional Center for Contemporary Arts ""Toplocentrala""",https://toplocentrala.bg/, м. Южен парк - II част,42.679976554491,23.3155298116324
"Satirical Theater ""Aleko Konstantinov""",http://www.satirata.bg/, ул. Стефан Караджа 26,42.6918086018957,23.3263058539614
City Mark Art Center,https://www.cmart.info/,бул. Янко Сакъзов 30,42.6964774758766,23.3395407367675
Sofia Opera and Ballet,http://www.operasofia.bg, бул. Дондуков 30,42.6976137176921,23.3304939827976
 Sofia Puppet Theater,http://www.sofiapuppet.com, ул. Ген. Йосиф В. Гурко 14,42.6933935891816,23.3258964972882
Sfumato theater workshop,http://www.sfumato.info/, ул. Димитър Греков 2,42.6981043717448,23.3460410962901
"Theatrical formation ""Melpomena""",https://www.melpomenatheatre.com/,ул. Янко Забунов бл 59Б ,42.6776004867395,23.3114598809456
Theatre Azaryan,http://ndk.bg, пл. България 1,42.6848938052919,23.3188968386177
Theatre Bulgarian Army,http://tba.art.bg, ул. Г. Раковски 98,42.694896935049,23.3288550441791
Theatre 199 Valentin Stoychev,https://theatre199.org/bg, ул. Славянска 8,42.693245998428,23.3286451386182
Theatre Atelie 313,https://www.atelie313.com/, ул. В.Д.Стоянов до бл.7,42.6957125709791,23.2827747539615
